country/economy code,year,"reporting data level: rural, urban, or national coverage",income or consumption used in survey,"Prosperity Gap, z=28/day","Inequality, z=ybar","Mean, $/day 2021 PPPs"
AGO,2000,national,consumption,9.609202419738001,2.875986576080322,8.380260818148001
AGO,2008,national,consumption,6.838755591522,1.807796239852905,7.401681958898
AGO,2018,national,consumption,10.964242149646,2.434865474700928,6.218052215342
ALB,1996,national,consumption,4.209428087499,1.269147515296936,8.442032597856
ALB,2002,national,consumption,4.429309760589,1.364912986755371,8.628333842450999
ALB,2005,national,consumption,3.860996724759,1.344995975494385,9.753929077405999
ALB,2008,national,consumption,3.450627986226,1.316423296928406,10.682071072609
ALB,2012,national,consumption,3.634575084492,1.314640998840332,10.127717460025
ALB,2014,national,consumption,3.839190183545,1.479709982872009,10.791827595527
ALB,2015,national,consumption,3.029822473087,1.410029768943787,13.030741705777
ALB,2016,national,consumption,3.038517368418,1.447189092636108,13.335877223746
ALB,2016,national,income,4.95816415233,1.87395167350769,10.582676521098
ALB,2017,national,income,4.54555479361,1.798551440238953,11.078832396219
ALB,2017,national,consumption,3.028759544798,1.428637862205505,13.207340743472
ALB,2018,national,consumption,2.701914762791,1.367429256439209,14.170698885466
ALB,2018,national,income,4.062998714908,1.682698011398315,11.596248899589
ALB,2019,national,consumption,2.551434412982,1.333290219306946,14.631818313763
ALB,2020,national,consumption,2.512495131662,1.33226466178894,14.847157669537
ARE,2013,national,income,.574808842861,1.5327467918396,74.662923281709
ARE,2018,national,income,.485331062752,1.407130360603333,81.18098022359899
ARG,1980,urban,income,1.394109201098,1.766507983207703,35.479446616861
ARG,1986,urban,income,2.397319418771,3.290042638778687,38.426751195005
ARG,1987,urban,income,2.362485903708,2.963577270507813,35.124087320527
ARG,1991,urban,income,2.67273790868,2.379152297973633,24.924353573378
ARG,1992,urban,income,3.056260313005,2.743726253509521,25.136711188063
ARG,1993,urban,income,3.084788729417,2.775161266326904,25.189574506685
ARG,1994,urban,income,3.387769846736,3.011034488677979,24.88627255791
ARG,1995,urban,income,4.164076339978,3.515842199325562,23.641156783668
ARG,1996,urban,income,4.816166410057,3.983744144439697,23.160503034754
ARG,1997,urban,income,4.184862295776,3.626927614212036,24.26698022729
ARG,1998,urban,income,4.110240501122,3.459010124206543,23.56365321875
ARG,1999,urban,income,4.459001542749,3.577045202255249,22.4618141485
ARG,2000,urban,income,4.750332016907,3.727355718612671,21.970245449563
ARG,2001,urban,income,6.38601090267,4.614911079406738,20.234463726807
ARG,2002,urban,income,6.683960141917,3.392637729644775,14.21221215811
ARG,2003,urban,income,4.178647783932,2.998393297195435,20.09143048403
ARG,2004,urban,income,3.467751681484,2.68218207359314,21.657000030013
ARG,2005,urban,income,3.03768615773,2.584425449371338,23.822049824862
ARG,2006,urban,income,2.675063769375,2.523067474365234,26.409047556263
ARG,2007,urban,income,2.563577645439,2.494079113006592,27.240919456524
ARG,2008,urban,income,2.422590708528,2.412328243255615,27.881386718032
ARG,2009,urban,income,2.266943377965,2.336231470108032,28.855805974706
ARG,2010,urban,income,2.061167197213,2.189151763916016,29.738611527974
ARG,2011,urban,income,1.878112493883,2.12175178527832,31.632317994989
ARG,2012,urban,income,1.855473125697,2.07738733291626,31.348795342755
ARG,2013,urban,income,1.85901543002,2.083046197891235,31.374293028925
ARG,2014,urban,income,1.958569211348,2.04683518409729,29.261862045082
ARG,2016,urban,income,1.935746481374,2.099107980728149,30.362976939534
ARG,2017,urban,income,1.821132650956,2.067561388015747,31.788854206097
ARG,2018,urban,income,2.045903798683,2.093378782272339,28.649738426926
ARG,2019,urban,income,2.181640760756,2.173870325088501,27.900270272614
ARG,2020,urban,income,2.43402796488,2.115760803222656,24.338792585339
ARG,2021,urban,income,2.184794682209,2.063437700271606,26.444706440931
ARG,2022,urban,income,2.1182537616,1.889494776725769,24.976164920963
ARG,2023,urban,income,2.25616377262,2.014606475830078,25.002166108131
ARG,2024,urban,income,2.133336660691,1.97668194770813,25.943909727437
ARM,1996,national,income,6.395968845264,1.777097105979919,7.779700173736
